Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"10,33",0
Baden,"49,93","6,16"
Bludenz,"29,64","4,68"
Braunau am Inn,"25,86","6,7"
Bregenz,"43,71","6,67"
Bruck an der Leitha,"52,94","10,78"
Bruck-Mürzzuschlag,"18,18","2,02"
Deutschlandsberg,"9,87",0
Dornbirn,"45,62","12,24"
Eferding,"12,06",0
Eisenstadt,"6,83","-20,5"
Eisenstadt-Umgebung,"27,95","2,33"
Feldkirch,"46,24","10,17"
Feldkirchen,"20,04","6,68"
Freistadt,"43,53","13,51"
Gmunden,"27,55","9,84"
Gmünd,"135,97","8,16"
Graz,"40,51","3,46"
Graz-Umgebung,"22,69","3,24"
Grieskirchen,"40,17","1,55"
Gänserndorf,"54,97","7,72"
Güssing,"58,15","15,51"
Hallein,"62,94","8,28"
Hartberg-Fürstenfeld,"18,76","5,52"
Hermagor,"126,21","49,39"
Hollabrunn,"5,9","-1,97"
Horn,"9,65","-3,22"
Imst,"48,29",5
Innsbruck,"72,67","12,87"
Innsbruck-Land,"46,29","9,48"
Jennersdorf,"11,72","-5,86"
Kirchdorf an der Krems,"17,59","5,28"
Kitzbühel,"29,74",0
Klagenfurt,"21,82","2,98"
Klagenfurt Land,"16,72","-3,34"
Korneuburg,"48,41","12,1"
Krems (Land),"70,68","5,3"
Krems an der Donau,"128,64","20,1"
Kufstein,"37,38","2,74"
Landeck,"78,9","33,81"
Leibnitz,"16,64","1,19"
Leoben,"9,99","1,67"
Lienz,"6,15",0
Liezen (inkl. Gröbming),"27,53","5,01"
Lilienfeld,"27,12",0
Linz,"48,12","4,37"
Linz-Land,"24,62","3,33"
Mattersburg,"20,04","-5,01"
Melk,"71,83","5,13"
Mistelbach,"47,69","3,97"
Murau,"18,08","-3,62"
Murtal,"15,28","5,56"
Mödling,"68,07","4,2"
Neunkirchen,"49,83","2,32"
Neusiedl am See,"67,17","20,15"
Oberpullendorf,"21,33","5,33"
Oberwart,"36,98","3,7"
Perg,"14,61",0
Reutte,"9,18","3,06"
Ried im Innkreis,"94,77","9,8"
Rohrbach,"12,38","5,31"
Rust,0,0
Salzburg,"36,96","6,48"
Salzburg-Umgebung,"18,39","4,6"
Sankt Johann im Pongau,"31,03","2,48"
Sankt Pölten,"56,32","5,45"
Sankt Pölten (Land),"51,89","10,68"
Sankt Veit an der Glan,"20,16","1,83"
Scheibbs,"77,29","-4,83"
Schwaz,"70,34","5,96"
Schärding,"54,09","3,49"
Spittal an der Drau,"3,94","1,31"
Steyr,"31,42",0
Steyr-Land,"6,62",0
Südoststeiermark,"3,56","-1,19"
Tamsweg,0,0
Tulln,"48,18","10,6"
Urfahr-Umgebung,"21,05","2,34"
Villach,"19,28","-1,61"
Villach Land,"21,65","1,55"
Voitsberg,"35,18","1,95"
Vöcklabruck,"41,83","12,48"
Völkermarkt,"7,16",0
Waidhofen an der Thaya,"69,53","11,59"
Waidhofen an der Ybbs,"17,76",0
Weiz,"15,5","2,21"
Wels,"46,98","14,58"
Wels-Land,"67,04","12,31"
Wien,"115,94","16,5"
Wiener Neustadt,"61,84","4,42"
Wiener Neustadt (Land),"25,64",0
Wolfsberg,"5,69",0
Zell am See,"12,58","-1,14"
Zwettl,"42,63","4,74"